,parent_folder,size
75,F:\Games\World_of_Warships\bin\4610639\bin64\cef\swiftshader,2.71 MB
76,F:\Games\World_of_Warships\bin\4462593\bin64\cef\swiftshader,2.71 MB
77,F:\Games\World_of_Warships\bin\4610639\bin32\cef\swiftshader,2.28 MB
78,F:\Games\World_of_Warships\bin\4462593\bin32\cef\swiftshader,2.28 MB
79,F:\Games\World_of_Warships\lib\platforms,1.4 MB
80,F:\Games\Wargaming.net\GameCenter\cache\Code Cache\js,1.37 MB
81,F:\Games\Wargaming.net\GameCenter\dlls\plugins\platforms,970.02 KB
82,F:\Games\Wargaming.net\GameCenter\wgc_api,933.44 KB
83,F:\Games\World_of_Warships\game_metadata,765.37 KB
84,F:\Games\World_of_Warships\game_metadata\resources\icon,734.84 KB
85,F:\Games\Wargaming.net\GameCenter\dlls\plugins\imageformats,686.14 KB
86,F:\Games\Wargaming.net\GameCenter\cache\GPUCache,544.36 KB
87,F:\Games\World_of_Warships\bin\4610639\res\gui\lobby,528.87 KB
88,F:\Games\World_of_Warships\bin\4462593\res\gui\lobby,520.66 KB
89,F:\Games\World_of_Warships\profile\cef_cache\IndexedDB\https_dockyard.worldofwarships.com_0.indexeddb.leveldb,310.83 KB
90,F:\Games\World_of_Warships\lib\QtQuick.2,238.27 KB
91,F:\Games\World_of_Warships\bin\4610639\res\banks,231.78 KB
92,F:\Games\World_of_Warships\bin\4462593\res\banks,231.49 KB
93,F:\Games\World_of_Warships\profile\cef_cache,220.56 KB
94,F:\Games\Wargaming.net\GameCenter\cache,188.71 KB
95,F:\Games\World_of_Warships\game_metadata\resources\background,136.25 KB
96,F:\Games\Wargaming.net\GameCenter\cache\image_cache\5B4297DCE06377A5A4CB242398907D8C898AEDB6,135.91 KB
97,F:\Games\Wargaming.net\GameCenter\cache\image_cache\5DC21193D2C5A9D4ABCF911DB2C196099F46E56E,135.91 KB
98,F:\Games\Wargaming.net\GameCenter\cache\image_cache\73B5F9DB54867E0D6CE4962454F249378C9E33A7,134.66 KB
99,F:\Games\World_of_Warships\game_metadata\resources\notification_icon,130.86 KB
100,F:\Games\Wargaming.net\GameCenter\cache\image_cache\2AF81A420007321DACAD9E97DB99119820A46125,128.18 KB
101,F:\Games\World_of_Warships\lib\QtQuick\Layouts,99.48 KB
102,F:\Games\Wargaming.net\GameCenter\dlls\plugins\bearer,93.55 KB
103,F:\Games\World_of_Warships\game_metadata\resources\background_blurred,41.22 KB
104,F:\Games\World_of_Warships\bin\4610639\res_mods\gui\crosshairs,40.42 KB
105,F:\Games\World_of_Warships\bin\4462593\res_mods\gui\crosshairs,40.42 KB
106,F:\Games\World_of_Warships\game_metadata\resources\tray_menu_icon_disabled,39.33 KB
107,F:\Games\World_of_Warships\game_metadata\resources\tray_menu_icon_hover,39.29 KB
108,F:\Games\World_of_Warships\game_metadata\resources\tray_menu_icon_normal,39.27 KB
109,F:\Games\World_of_Warships\lib\QtQuick\Window.2,37.73 KB
110,F:\Games\Wargaming.net\GameCenter\dlls\plugins\iconengines,37.52 KB
111,F:\Games\Wargaming.net\GameCenter\cache\image_cache\76606D345E1E5954334B9212A3F574FDB06F5508,35.26 KB
112,F:\Games\Wargaming.net\GameCenter\cache\data8\4,31.75 KB
113,F:\Games\World_of_Warships\profile\cef_cache\databases,28.0 KB
114,F:\Games\Wargaming.net\GameCenter\cache\data8\5,21.16 KB
115,F:\Games\Wargaming.net\GameCenter\cache\data8\2,18.14 KB
116,F:\Games\Wargaming.net\GameCenter\cache\data8\9,16.68 KB
117,F:\Games\Wargaming.net\GameCenter\cache\data8\a,16.59 KB
118,F:\Games\World_of_Warships\bin\4462593\res_mods\gui,14.39 KB
119,F:\Games\World_of_Warships\bin\4610639\res_mods,14.19 KB
120,F:\Games\World_of_Warships\bin\4462593\res_mods,14.19 KB
121,F:\Games\World_of_Warships\bin\4610639\res_mods\gui,13.67 KB
122,F:\Games\Wargaming.net\GameCenter\cache\data8\7,13.61 KB
123,F:\Games\Wargaming.net\GameCenter\cache\data8\1,12.13 KB
124,F:\Games\Wargaming.net\GameCenter\cache\data8\6,12.09 KB
125,F:\Games\Wargaming.net\GameCenter\cache\data8\0,12.09 KB
126,F:\Games\Wargaming.net\GameCenter\cache\data8\8,12.03 KB
127,F:\Games\Wargaming.net\GameCenter\cache\data8\d,9.09 KB
128,F:\Games\World_of_Warships\game_metadata\resources\small_logo,8.63 KB
129,F:\Games\Wargaming.net\GameCenter\cache\data8\3,7.57 KB
130,F:\Games\Wargaming.net\GameCenter\cache\Local Storage\leveldb,7.56 KB
131,F:\Games\Wargaming.net\GameCenter\cache\data8\e,7.56 KB
132,F:\Games\Wargaming.net\GameCenter\cache\data8\b,7.5 KB
133,F:\Games\Wargaming.net\GameCenter\cache\image_cache\264C665A6F247D9CFE06B8B15A54A652C8865361,6.33 KB
134,F:\Games\Wargaming.net\GameCenter\cache\data8\c,4.55 KB
135,F:\Games\World_of_Warships\bin\4462593\res_mods\gui\unbound\mods,4.31 KB
136,F:\Games\World_of_Warships\bin\4610639\res_mods\gui\unbound\mods,4.31 KB
137,F:\Games\Wargaming.net\GameCenter\cache\data8\f,3.03 KB
138,F:\Games\Wargaming.net\GameCenter\cache\Session Storage,2.99 KB
139,F:\Games\World_of_Warships\bin\4365481\res_mods,1.6 KB
140,F:\Games\World_of_Warships\bin\4610639\res_mods\running_lights,1.26 KB
141,F:\Games\World_of_Warships\bin\4462593\res_mods\running_lights,1.26 KB
142,F:\Games\World_of_Warships\profile\cef_cache\Service Worker\Database,932.0 B
143,F:\Games\World_of_Warships\bin\4462593\res_mods\running_lights\img,921.0 B
144,F:\Games\World_of_Warships\bin\4610639\res_mods\running_lights\img,921.0 B
145,F:\Games\Wargaming.net\GameCenter\cache\VideoDecodeStats,875.0 B
146,F:\Games\World_of_Warships\profile\cef_cache\File System\Origins,838.0 B
147,F:\Games\World_of_Warships\game_metadata\resources\game_css,783.0 B
148,F:\Games\World_of_Warships\profile\cef_cache\VideoDecodeStats,770.0 B
149,F:\Games\Wargaming.net\GameCenter\cache\shared_proto_db\metadata,681.0 B
150,F:\Games\Wargaming.net\GameCenter\cache\Code Cache\js\index-dir,384.0 B
151,F:\Games\World_of_Warships\profile\cef_cache\File System\001\t\Paths,189.0 B
152,F:\Games\World_of_Warships\profile\cef_cache\File System\000\t\Paths,188.0 B
153,F:\Games\Wargaming.net\GameCenter\cache\Code Cache\wasm\index-dir,48.0 B
154,F:\Games\World_of_Warships\profile\cef_cache\Service Worker\ScriptCache\index-dir,48.0 B
155,F:\Games\World_of_Warships\profile\cef_cache\File System\001\t,24.0 B
156,F:\Games\Wargaming.net\GameCenter\cache\Code Cache\wasm,24.0 B
157,F:\Games\World_of_Warships\profile\cef_cache\Service Worker\ScriptCache,24.0 B
158,F:\Games\World_of_Warships\profile\cef_cache\File System\000\t,24.0 B
159,F:\Games\Wargaming.net\GameCenter\cache\shared_proto_db,0B
